YEAR,Cmax,Lmax,MAE,RMSE,MAPE,ME,Execution Time,MinMax Range,No of Models,Rows Count
2008,50000,3000,2.23,2.3,2.15,2.23,9.2,100-105,28,528830
2009,100000,6000,1.99,2.097,1.92,1.99,25.88,100-105,76,1040013
2010,150000,9000,1.12,1.31,1.09,1.03,39.08,100-105,76,1550326
2011,200000,12000,0.73,0.92,0.96,0.84,40.42,100-105,52,2049115
2012,250000,15000,0.49,0.69,0.88,0.62,55.66,100-105,52,2554037
2013,300000,20000,0.59,0.74,0.84,0.45,55.62,100-105,52,3050059
2014,350000,25000,0.46,0.62,0.71,0.38,63.69,100-105,52,3542271
2015,400000,30000,0.6,0.8,0.69,0.6,72.89,100-105,52,4021084
2016,450000,35000,0.58,0.73,0.67,0.66,85.41,100-105,52,4499408
2017,500000,40000,0.44,0.56,0.44,0.47,96.57,100-105,52,4967428
