YEAR,Cmax,Lmax,MAE,RMSE,MAPE,ME,Adj_R2,Execution Time,MinMax Range,No of Models,Rows Count
2008,50000,3000,2.5,2.6,2.26,2.27,0.77,8.28,100-105,28,528830
2009,100000,6000,2.23,2.37,2.02,2.03,0.78,23.29,100-105,76,1040013
2010,150000,9000,1.25,1.48,1.14,1.05,0.81,35.17,100-105,76,1550326
2011,200000,12000,0.82,1.04,1.01,0.86,0.84,36.38,100-105,52,2049115
2012,250000,15000,0.55,0.78,0.92,0.63,0.89,50.09,100-105,52,2554037
2013,300000,20000,0.66,0.84,0.88,0.46,0.91,50.06,100-105,52,3050059
2014,350000,25000,0.52,0.7,0.75,0.39,0.9,57.32,100-105,52,3542271
2015,400000,30000,0.67,0.9,0.72,0.61,0.92,65.6,100-105,52,4021084
2016,450000,35000,0.65,0.82,0.7,0.67,0.94,76.87,100-105,52,4499408
2017,500000,40000,0.49,0.63,0.46,0.48,0.96,86.91,100-105,52,4967428
